,ID,Cardio_service,MMA_service,Cycling_service,HSI_unlimited,Total_Revenues_Package,Total_Discount_Promo,Duration,Observed,W,Province_Quebec
16531706,9600029952101825,0,1,1,0,56.99,0.0,225.0,False,195.0,1
1627983,9500037741441825,1,0,1,0,0.0,0.0,16.0,True,1.0,0
7316033,9500100575331825,1,0,1,0,104.95,0.0,44.0,True,42.0,0
22032282,9600162425671825,0,0,1,0,33.5,0.0,345.0,True,331.0,1
5182544,9500076772021825,1,1,0,1,133.94,57.0,52.0,False,22.0,0
13590303,9500167611791825,1,1,1,1,201.49,65.5,29.0,False,-1.0,0
23113690,9600228944761825,0,1,1,0,65.99000000000001,23.0,10.0,False,-20.0,1
22058073,9600162586881825,1,0,1,0,96.94,10.0,352.0,False,322.0,1
19633860,9600100875391825,1,0,1,0,96.94,10.0,348.0,False,318.0,1
16103016,9600025491991825,1,1,1,1,135.94,20.0,77.0,False,47.0,1
7003999,9500096914411825,0,0,1,0,45.0,41.0,4.0,True,2.0,0
23067115,9600223598761825,1,0,1,1,101.0,53.0,12.0,False,-18.0,1
11010959,9500139935691825,1,0,1,1,143.5,34.0,41.0,False,11.0,0
17672096,9600055151891825,1,0,1,0,0.0,0.0,38.0,True,31.0,1
15382735,9500224881631825,1,0,0,0,0.0,0.0,3.0,True,-18.0,0
6413608,9500090563141825,1,1,1,1,176.99,20.0,80.0,True,68.0,0
15251205,9500219499001825,1,1,1,0,0.0,0.0,7.0,True,-17.0,0
16229567,9600027046531825,1,0,1,1,141.49,35.0,399.0,False,369.0,1
22352883,9600180192941825,1,0,0,0,0.0,0.0,13.0,True,-4.0,1
1137407,9500030767551825,1,1,1,1,173.94,69.0,385.0,False,355.0,0
15559813,9500236097181825,1,1,1,1,200.49,68.5,8.0,False,-22.0,0
9303023,9500122147441825,1,0,0,1,103.95,4.0,70.0,False,40.0,0
21774905,9600154980381825,1,0,1,1,100.0,32.0,85.0,False,55.0,1
14156010,9500185412071825,1,0,1,0,123.5,50.0,25.0,False,-5.0,0
4825501,9500072660221825,1,1,1,0,178.93,0.0,353.0,False,323.0,0
15186828,9500217492681825,1,0,0,1,103.0,0.0,14.0,False,-16.0,0
8123261,9500109248721825,1,1,0,1,160.99,28.0,359.0,False,329.0,0
6912637,9500095707851825,1,0,0,0,94.95,10.0,95.0,True,86.0,0
15633629,9500241536091825,0,0,1,0,0.0,0.0,5.0,False,-25.0,0
22527757,9600189609351825,1,0,1,0,0.0,0.0,9.0,True,-7.0,1
2563571,9500046333311825,1,1,1,1,177.49,30.0,50.0,False,20.0,0
21270006,9600144738261825,1,0,0,1,75.0,0.0,45.0,False,15.0,1
10327071,9500133385421825,1,1,1,1,187.49,50.0,100.0,False,70.0,0
13896078,9500179168141825,0,0,1,0,0.0,0.0,5.0,True,-3.0,0
9925985,9500129117031825,1,1,1,1,227.43,70.0,379.0,False,349.0,0
2314615,9500043636241825,0,0,1,0,8.0,0.0,180.0,False,150.0,0
2496985,9500045513841825,1,0,1,0,150.44,45.0,71.0,True,56.0,0
15691380,9500249101561825,1,0,0,1,103.0,43.0,2.0,False,-28.0,0
83536,9500016796261825,1,0,0,1,126.95,0.0,94.0,True,77.0,0
938031,9500028208561825,1,0,1,1,173.44,0.0,216.0,False,186.0,0
14009869,9500182005801825,1,1,1,1,189.49,65.0,26.0,False,-4.0,0
19062960,9600086244831825,1,0,1,0,0.0,30.0,350.0,True,333.0,1
16894659,9600034630281825,1,0,1,1,112.95,20.0,113.0,True,109.0,1
6272863,9500089191991825,1,1,1,0,0.0,0.0,47.0,True,25.0,0
6292779,9500089367141825,1,1,1,0,0.0,0.0,121.0,True,104.0,0
14003949,9500181868621825,0,0,1,0,51.5,0.0,26.0,False,-4.0,0
10621967,9500136107911825,0,0,1,0,44.99,0.0,480.0,False,450.0,0
10391703,9500134048491825,0,1,1,0,88.48,0.0,82.0,True,60.0,0
15564082,9500236352671825,1,0,1,1,140.5,55.5,8.0,False,-22.0,0
5720616,9500082266371825,1,0,0,0,65.95,0.0,113.0,False,83.0,0
15148627,9500216261021825,1,1,0,1,169.99,96.99000000000001,14.0,False,-16.0,0
23022627,9600219389511825,1,0,1,1,106.0,0.0,13.0,False,-17.0,1
17091386,9600036774031825,1,1,1,0,0.0,0.0,146.0,True,143.0,1
22576735,9600192415171825,1,1,1,1,140.99,45.0,23.0,False,-7.0,1
18305287,9600066372631825,1,1,1,1,193.93,42.0,147.0,True,122.0,1
20548010,9600124897331825,1,1,1,0,111.92999999999999,0.0,118.0,False,88.0,1
8241689,9500110755671825,0,1,1,0,77.99000000000001,0.0,37.0,True,24.0,0
23187934,9600241475761825,1,0,1,1,96.0,54.0,5.0,False,-25.0,1
16155637,9600026416571825,0,1,1,0,83.99000000000001,7.0,112.0,False,82.0,1
11330336,9500143834301825,1,1,1,1,241.43,0.0,158.0,False,128.0,0
4371703,9500068453131825,1,1,0,1,169.99,25.0,161.0,False,131.0,0
902934,9500027622801825,0,0,1,0,0.0,0.0,95.0,False,65.0,0
14945624,9500209222961825,1,1,1,1,206.49,76.5,17.0,False,-13.0,0
11020270,9500140087221825,1,1,1,0,0.0,0.0,19.0,True,11.0,0
862377,9500026128081825,1,0,0,1,98.0,25.0,37.0,False,7.0,0
